,job_title,employment,edu_level,job_family
0,mechanical drafter,employed for wages,associate degree,Architecture and Engineering
1,-,out of work and looking for work,"some college, no degree",None
2,unemployed,out of work but not currently looking for work,"some college, no degree",None
3,student,a student,"some college, no degree",None
4,factory worker,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",Construction and Extraction
5,game programmer,employed for wages,bachelor’s degree,Computer and Mathematical
6,janitor,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
7,fabricator,employed for wages,trade/technical/vocational training,Production
8,cashier,employed for wages,"some college, no degree",Sales and Related
9,software engineer,employed for wages,master’s degree,Architecture and Engineering
10,nurse,employed for wages,bachelor’s degree,Healthcare Practitioners and Technical
11,freight associate,employed for wages,"some college, no degree",Office and Administrative Support
12,student,a student,"some college, no degree",None
13,neet,unable to work,"high school graduate, diploma or the equivalent (for example: ged)",None
14,broker,employed for wages,bachelor’s degree,None
15,student,retired,"high school graduate, diploma or the equivalent (for example: ged)",None
16,intern,out of work and looking for work,bachelor’s degree,None
17,student,a student,bachelor’s degree,None
18,student,a student,"some high school, no diploma",None
19,surveyor,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",Architecture and Engineering
20,part time computer tutor,employed for wages,bachelor’s degree,Computer and Mathematical
21,student,a student,"some college, no degree",None
22,student,a student,"some high school, no diploma",None
23,kitchen staff,a student,bachelor’s degree,None
24,software developer,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",Computer and Mathematical
25,student,a student,"some high school, no diploma",None
26,guy,employed for wages,trade/technical/vocational training,None
27,none (?),a student,"some high school, no diploma",None
28,student,a student,bachelor’s degree,None
29,peon,a student,"some college, no degree",None
30,None,a student,"some high school, no diploma",None
31,student,a student,bachelor’s degree,None
32,student,a student,"high school graduate, diploma or the equivalent (for example: ged)",None
33,chef,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
34,butcher,employed for wages,"high school graduate, diploma or the equivalent (for example: ged)",None
35,"medical student, year 4",a student,doctorate degree,None
36,software full stack developer,employed for wages,bachelor’s degree,Computer and Mathematical
37,junior ba,a student,bachelor’s degree,None
38,cinema student,a student,"some college, no degree",None
39,engineer,a student,professional degree,Architecture and Engineering
40,student,a student,bachelor’s degree,None
41,iternent peagogue,employed for wages,bachelor’s degree,None
42,software developer,employed for wages,bachelor’s degree,Computer and Mathematical
